Company Name,Description,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Exchange,Ticker,Year Founded,Revenue,Gross Profit,Net Income,Enterprise Value,EBITDA,Market Cap,HQ City,HQ State/Province,HQ Country
Hansae Yes24 Holdings (KRX: 016450),"Hansae Yes24 Holdings Co Ltd. through its subsidiaries is engaged in the manufacture and sale of knitted clothing and apparel. The company produces shirts, formal dress, and casual wears. It also offers cardigan, suits, jackets, knitted blouses, coats, nightwear, skirts, and other related products. In addition, it is also involved in the sale of various cultural products, such as DVDs, gifts, theater tickets, and publishing of textbooks, as well as the provision of digital content services. All the business activity of the group is operated through Korea and the products are distributed within Korean and to overseas market.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,KRX,016450,1982,"2,294.13",580.46,-14.48,889.96,25.28,303.65,Seoul,,South Korea
Jinzhou Cihang Group Company (SHE: 000587),"Jinzhou Cihang Group Co Ltd is engaged in processing, manufacturing, and selling of precious metals, jewelry, jade-based arts and crafts, and recycling of gold in China.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,Accessories*,SHE,000587,1985,"2,279.68",173.20,19.08,"2,317.86",103.06,"1,065.02",Yichun,Heilongjiang,China
J. Crew,"Retailer of apparel and accessories created for men and women. The company's men's and women's apparel and accessories are distributed through its retail stores, online website and other retail channels enabling its clients with clothes that looks best when they're lived in.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Specialty Retail",,,1983,"2,260.00",,,,,,Lynchburg,Virginia,United States
Aoyama Trading Company (TKS: 8219),"Aoyama Trading Co., Ltd. is an apparel retailer specializing in business wear. Men's business wear accounts for roughly two thirds of the company's total sales, while women's business wear accounts for roughly 10%. Business wear stores include Yofuku-no-Aoyama, which is the company's primary brand and has nearly 800 locations; The Suit Company; and Next Blue. Other business segments include casual wear, with store brands including Universal Language and Calaja; credit cards; printing and media; and total repair service, which includes the company's Mister Minit stores, providing repair services such as shoe repair and key duplication. Aoyama's sales are primarily in Japan, but the firm has business throughout the Asia-Pacific region.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,TKS,8219,,"2,258.03","1,237.81",61.90,"1,456.46",110.59,"1,049.04",Hiroshima,,Japan
Wolverine World Wide (NYS: WWW),"Wolverine World Wide makes a wide range of footwear and apparel that it sells globally through three main divisions. The company sells casual footwear and apparel through its lifestyle group, and it sells performance and athletic apparel through its performance group. Its heritage group consists largely of industrial and work boots and shoes. Company brands include Sperry, Stride Rite, Hush Puppies, Keds, Merrell, and Saucony. The company also licenses brands including Harley-Davidson and Cat. Most company sales are wholesale to third-party retailers, but Wolverine also has some direct-to-consumer exposure and bids for U.S. military contracts. The company sources most of its product from third-party manufacturers in Asia. Wolverine manufactures some products internally.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,Footwear*,NYS,WWW,,"2,239.20",921.30,200.10,"3,464.84",283.40,"3,168.48",Rockford,Michigan,United States
Fanatics,"Operator of a multi-channel sports merchandise retailer. The company's retailer channels operate the e-commerce business for all major professional sports leagues, major media brands and collegiate and professional team properties. In addition to e-commerce, the company's capabilities include multichannel-integrated event and team retail across all leagues and major events, an industry-leading tech, data and mobile platform, and an in-house merchandise division. The company's vertical manufacturing engine is built for today's on-demand economy and brings much-needed agility to the industry, better servicing today's passionate sports fans and their growing real-time expectations with more unique and innovative products readily available across retail channels.",Consumer Products and Services (B2C),Retail,Internet Retail,"Internet Retail*, Other Apparel, Other Retail",,,1995,"2,200.00",,,,,,Jacksonville,Florida,United States
Genesco (NYS: GCO),"Genesco sells footwear, headwear, sports apparel, and accessories. It sells direct to consumers through its company stores and websites and wholesale to department and specialty stores. In footwear, it owns the Journeys, Schuh, and Johnston & Murphy brands and has a license to make Dockers footwear. Its Lids Sports Group makes licensed sports headwear and accessories. Most of the company's retail stores are in the United States, but it also has many locations in Canada and Europe. Genesco owns many distribution warehouses in the U.S. and Scotland and sources its products from third-party manufacturers worldwide.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,"Accessories, Footwear*, Specialty Retail",NYS,GCO,1924,"2,188.55","1,047.06",-51.93,940.66,81.60,833.55,Nashville,Tennessee,United States
Onward Holdings (TKS: 8016),"Onward Holdings Co Ltd manufactures and sells clothing, shoes, uniforms, bags, and other items. Women's clothing sales account for the majority of Onward's apparel revenue. The company's core brands include Nijyusanku, Kumikyoku, ICB, Jiyuku, J.Press, and Gotairiku. More than three fourths of Onward's sales are through department stores. Remaining sales are through other retailers, directly managed stores, and e-commerce. More than three fourths of Onward's sales are in Japan, and most of the company's remaining sales are in Europe. The company manufactures its products primarily in China.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,Accessories*,TKS,8016,,"2,180.25","1,007.14",26.04,"1,102.45",115.05,714.13,Tokyo,,Japan
Chico's FAS (NYS: CHS),"Chico's FAS Inc is an apparel retailer with a portfolio of private-label brands that sell women's clothing and accessories. Brands include Chico's, White House/Black Market, and Soma Intimates. The brands generally target women over 35 years old with moderate to high-income levels. It sells directly to the consumer through its retail stores, websites, and telephone call centers. The company sources most of its product from foreign manufacturers and distributes all products from its distribution center in Georgia.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Accessories, Clothing, Specialty Retail*",NYS,CHS,1983,"2,131.14",763.41,35.61,561.65,135.00,492.78,Fort Myers,Florida,United States
Express (NYS: EXPR),"Express, Inc. is a United States based specialty apparel retailer. It offers apparel and accessories for work, casual, jeanswear, and going-out. The company also sell the products through its e-commerce website and mobile app, as well as through franchisees who operate company locations in Latin America pursuant to the franchise agreements. It derives revenue from the sales of apparel, accessories and other products, of which a majority of the revenue from the sale of apparel.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Accessories, Clothing, Specialty Retail*",NYS,EXPR,1980,"2,116.34",614.91,9.63,202.01,106.17,261.37,Columbus,Ohio,United States
Feng Tay Enterprises Company (TAI: 9910),"Feng Tay Enterprises Co Ltd primarily manufactures athletic shoes for large, international brands. It produces a substantial portion of Nike's total annual sales volume. The company also manufactures casual shoes, for companies including Clarks, Rockport, and Dr. Martens, and sporting goods, such as helmets, equipment, golf balls, and soccer balls. Feng Tay produces ice skates and in-line skates for Bauer and Rollerblade. Feng Tay's manufacturing facilities are located in China, Indonesia, Vietnam, and India.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,Footwear*,TAI,9910,1971,"2,137.95",522.73,174.45,"3,893.32",350.39,"4,756.56",Douliou,Yunlin,Taiwan
Zhejiang Semir Garment (SHE: 002563),"Zhejiang Semir Garment Co Ltd produces a series of adult leisure clothing and children's clothes. The company currently has two online branded services - Semir and Balabala. The company offers adult casual wear for an age group of 16 to 30 years and professional and fashionable children's wear for an age group of 0-14 years. The company brands include Semir, Balabala, The Children's Place, Marcolor, It MICHAA, Sarabanda, and others.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,SHE,002563,1996,"2,102.22",755.41,213.72,"4,248.08",289.82,"4,686.33",Shanghai,,China
Reebok International,"Manufacturer, distributor and retailer of sports apparel. The company designs, produces and sells a range of athletic apparel for men, women and children, including running shoes, walking shoes, basketball shoes, shorts, jackets, shirts and socks.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,"Accessories, Clothing, Footwear*",,,1958,"2,100.00",,,,,,Canton,Massachusetts,United States
Jo-Ann Stores,"Operator of a chain of craft stores in the U.S. The company operates 756 stores in 48 states, selling fabrics and other craft products.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Home Furnishings, Other Apparel, Specialty Retail*",,,1943,"2,079.00","1,040.60",93.10,"1,439.71",211.10,,Hudson,Ohio,United States
Luk Fook Holdings (HKG: 00590),"Luk Fook Holdings (International) Ltd is a Hong Kong-based investment holding company principally engaged in the jewelry business. The main activities of the company include the sourcing, design, wholesale, trademark licensing, and retailing of gold and platinum jewelry and gem-set jewelry products. The company operates through the following five segments: Retailing in Hong Kong, Macau and Overseas; Retailing in Mainland China; Wholesaling in Hong Kong; Wholesaling in Mainland China; and Licensing. It earns most of its revenue from the Retailing in Hong Kong, Macau and Overseas segment.",Consumer Products and Services (B2C),Apparel and Accessories,Luxury Goods,"Luxury Goods*, Specialty Retail",HKG,00590,,"2,062.52",505.31,193.36,"1,877.89",246.41,"1,993.67",Kowloon,,Hong Kong
Deckers Brands (NYS: DECK),"Deckers Outdoor Corp designs and sells casual and performance footwear, apparel, and accessories. Primary brands include UGG, Teva, and Sanuk. The company distributes most of its products through its wholesale business, but it also has a substantial direct-to-consumer business with its company-owned retail stores and websites. Most sales are in the United States, although the company also has retail stores and distributors throughout Europe, Asia, Canada, and Latin America. Deckers sources its products from independent manufacturers primarily in Asia.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,"Accessories, Clothing, Footwear*",NYS,DECK,1973,"2,026.99","1,029.37",260.95,"3,646.68",313.30,"4,093.20",Goleta,California,United States
Converse,"Manufacturer, designer and marketer of athletic footware and sports goods. The company also licenses its name to sports apparel. Its products are sold through retailers and licensees in some 100 countries.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,"Clothing, Footwear*",,,1908,"2,000.00",,,,,,North Andover,Massachusetts,United States
Wish,"Provider of a mobile e-commerce platform designed to sell items directly from the manufacturer. The company's platform offers digital shopping by leveraging a global supply chain of direct suppliers and avoiding retail overhead costs, enabling individual users to buy directly using their smartphones.",Consumer Products and Services (B2C),Retail,Internet Retail,"Accessories, Application Software, Clothing, Internet Retail*",,,2010,"2,000.00",,,,,,San Francisco,California,United States
Gianni Versace,"Designer, manufacturer, distributor and retailer of fashion and lifestyle products. The company produces upmarket Italian-made ready-to-wear and leather accessories such as clothing, accessories, fine jewellery, watches, eyewear, fragrances and home furnishings.",Consumer Products and Services (B2C),Apparel and Accessories,Luxury Goods,"Accessories, Clothing, Luxury Goods*",,,1978,"2,000.00",,,,,,Milan,,Italy
Woodmans Food Market,"The company primarily operates in the Buildings and Property industry. Woodmans Food Market was founded in 1919 and is headquartered in Onalaska, WI.",Business Products and Services (B2B),Other Business Products and Services,Buildings and Property,"Buildings and Property*, Clothing",,,1919,"2,000.00",,,,,,Onalaska,Wisconsin,United States
LuLaRoe,"Provider of an online fashion store intended to create freedom by selling comfortable, affordable and stylish clothing. The company's online fashion store sells a variety of custom apparel and accessories as per latest trends, enabling customers to find and order personalized fashion items by being connected to local retailers and designers.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Internet Retail, Other Apparel",,,2013,"2,000.00",,,,,,Corona,California,United States
Children's Place Retail Stores (NAS: PLCE),"Children's Place Inc is a specialty retailer that sells accessories, footwear, and other items for children. The company has over a thousand stores in North America and also sells through its website and wholesale. It reaches more than a dozen other countries, with franchise partners operating stores, shops, or e-commerce sites. The company leases all of its retail stores, and most are located in malls. Children's Place has one distribution center in the United States and one in Canada to support operations in those countries. It uses third-party providers to support operations in other countries. The company sources its product from well over 100 vendors, which are primarily located in Asia.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Clothing, Specialty Retail*",NAS,PLCE,1969,"1,938.08",683.60,100.96,"1,539.01",180.21,"1,365.39",Secaucus,New Jersey,United States
Sears Canada,"Sears Canada Inc is in the sale of goods and services through the Company's Retail channels. It comprised of one reportable segment, Merchandising. Which includes its full-line department, Sears Home, Hometown, Outlet, Corbeil Electrique Inc. stores, and its Direct (catalog/internet) channel. It also includes service revenue related primarily to logistics services provided through the Company. Commission revenue includes travel, home improvement services, insurance, wireless and long-distance plans. Licensee fee revenue is comprised of payments received from licensees that operate within the Company stores.",Consumer Products and Services (B2C),Retail,Department Stores,"Department Stores*, Internet Retail, Luxury Goods",,,1952,"1,914.47",500.24,-304.87,19.67,-280.59,1.11,Toronto,Ontario,Canada
Youngone (sportswear) (KRX: 111770),"Youngone Corp is a Korea based company engaged in the manufacturing and distribution of apparel, shoes, bags, sleeping bags, and socks. The company produces various apparel categories such as outdoor apparel, sportswear, technical clothing, knitwear, sweaters and casual wear. It also supplies a wide range of shoe products and other supplies including sports shoes, casual shoes, safety shoes, sneakers, boots, and mountain climbing, travel, casual, business bags and camping goods.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Clothing, Footwear",KRX,111770,2009,"1,911.79",517.82,102.86,"1,565.59",222.40,"1,246.03",Seoul,Jung-Gu,South Korea
Aeon Kyushu Company (TKS: 2653),"Aeon Kyushu Co Ltd operates a supermarket chain. Its product portfolio comprises of clothing, foodstuffs and household utensils.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Department Stores, Specialty Retail",TKS,2653,1911,"1,891.50",527.43,-6.71,635.19,39.36,339.44,Chiba,Mihama-ku,Japan
Zale (Texas),Operator of retail jewelry-store chain. The company's stores sell fine and diamond jewelry for men and women in a range of price levels.,Consumer Products and Services (B2C),Retail,Specialty Retail,"Luxury Goods, Specialty Retail*",,,1924,"1,867.18","1,004.20",24.32,"1,344.90",78.63,,Irving,Texas,United States
OVS (MIL: OVS),"OVS SpA is an Italian fashion retailer. The company creates, develops and markets menswear, womenswear and children's wear under the OVS and UPIM brands. It operates in two segments namely OVS, that offers stylish and high-quality clothing at competitive prices focusing on latest trends and fashion, and Upim, that offers women's, men's and children's clothing products, homeware and fragrance. The majority of the company's revenue is derived from OVS segment.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Department Stores",MIL,OVS,1972,"1,849.58",998.65,31.32,"1,136.38",135.44,415.68,Venezia,,Italy
Velvet by Graham & Spencer,"Manufacturer and online retailer of women's and men's apparel. The company fuses quality with trend-setting basics and offers modern, sophisticated contemporary apparel brand with laid-back California attitude, for women and men. It sells its products online and through a chain of retail store in United States and United Kingdom.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*, Internet Retail",,,1997,"1,800.00",,,,,,Culver City,California,United States
AOKI Holdings (TKS: 8214),"AOKI Holdings Inc. is a holding company involved in the Fashion business, Anniversaire and bridal business and Entertainment business segments. Fashion business segment comprises the operation of retail chain stores for men's and women's apparel under the brand names of AOKI. Anniversaire and bridal segment offer guesthouse style format for ceremonies and receptions for couples to hold their weddings and anniversaries. Entertainment segment comprises the operation of karaoke restaurants and bars under the brand name of Cote d'Azur and also offers relaxation and refreshing activities in Kaikatsu club.",Business Products and Services (B2B),Commercial Services,Other Commercial Services,"Accessories, Clothing, Other Commercial Services*",TKS,8214,1958,"1,765.03",768.71,48.69,"1,119.76",80.33,944.43,Yokohama,,Japan
Wacoal Holdings (TKS: 3591),"Wacoal Holdings Corp primarily manufactures and sells women's intimate apparel under the Wacoal brand. Roughly three fourths of its sales are from women's foundation garments and lingerie, which includes brassieres, girdles, slips, and women's briefs. Other innerwear includes nightwear, hosiery, and children's underwear. Remaining sales consist of outerwear and sportswear, textile products, and nonapparel businesses. Wacoal sells most of its apparel wholesale to department stores and other retailers. Less than a fourth of its apparel sales are direct to the customer via its own retail stores, catalog sales, and internet orders. The vast majority of Wacoal's sales are in Japan. It also has sales in China, Europe, and the United States.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,Clothing*,TKS,3591,1949,"1,761.59",940.09,38.20,"1,470.56",94.94,"1,606.00",Kyoto,,Japan
Mosaic Fashions,"Manufacturer and wholesaler of women's clothing and accessories. The company is engaged in the manufacture, design and sale of women's swear, jewellery, footwear, bags, belts, lingerie and sleepwear.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Clothing",,,2003,"1,742.38","1,054.28",-32.63,,-88.09,,London,England,United Kingdom
Ermenegildo Zegna Holditalia,"Owner and operator of a luxury apparel brand intended to sell premium menswear. The company's brand offers ready to wear menswear such as jackets, suits, blazers, sweatshirts, underwear, pants as well as shoes like sneakers, loafers, boots and other accessories like leather bags, belts, ties, sunglasses, enabling customers to find and purchase fine linen-made apparel customized clothing across multiple retail stores.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*, Footwear",,,1910,"1,700.00",,,,,,Trivero,Biella,Italy
Fielmann (ETR: FIE),"Fielmann AG is an optical retailer that offers eyewear fashion at a low price. Its main market is Europe. The company offers a wide range of products: glasses, sunglasses, contact lenses, and hearing aids. The assortment of models is fashionable, and the firm offers its products at reasonable prices. Fielmann is involved in all levels of the optical industry value-added chain: designing, manufacturing, product offering, and optician services.",Consumer Products and Services (B2C),Retail,Other Retail,"Accessories, Other Retail*, Specialty Retail",ETR,FIE,1972,"1,670.14","1,334.44",195.19,"4,608.05",344.13,"5,668.63",Hamburg,,Germany
Printemps Department Store,"Operator of beauty department stores. The company offers women's beauty products, hand bags, makeup collections and accessories. It also offers personal shopping, tax refund, valet and watch repair.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Accessories, Clothing, Specialty Retail*",,,1864,"1,665.91",229.57,14.09,,56.23,,Paris,,France
Steve Madden (NAS: SHOO),"Steven Madden Ltd designs and sells brand-name and private-label footwear, handbags, and accessories. Its products are geared toward fashion-conscious adults and children. The company sells its products through department stores and other retailers as well as its own stores and websites. Nearly all of the company's revenue comes from three of its segments. The wholesale footwear segment accounts for the majority of revenue, while the wholesale accessories segment and retail segment contribute similar amounts. Geographically, most sales are in North America and South Africa, but the company's products also reach Europe, Asia, and Australia. Steve Madden sources products from manufacturers in Asia, Mexico, and Italy.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,Footwear*,NAS,SHOO,1990,"1,653.61",616.04,129.14,"2,423.37",195.86,"2,763.66",Stratford,Connecticut,United States
Kellwood Company,"Manufacturer and marketer of fashion brands for men, women and girls. The company designs, manufactures and markets a collection of brands across a range of consumer lifestyles, including Vince, Rebecca Taylor, David Meister, Zobha, Sag Harbor, Briggs NY, Jolt, My Michelle, and XOXO. It operates retail stores and e-commerce sites for Vince, Rebecca Taylor and Zobha, as well as the e-commerce store for David Meister.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Internet Retail, Specialty Retail",,,1961,"1,635.04",400.25,-52.55,768.32,-53.88,,New York,New York,United States
Acushnet Holdings (NYS: GOLF),"Acushnet Holdings Corp is a US-based company engaged in the design, development, manufacture, and distribution of golf products. Its product category includes golf balls, golf shoes, golf clubs, wedges, putters, golf gloves, golf gear and golf wear, of which key revenue is derived from the sales of golf balls and golf gloves. The operating segments of the company are Titleist golf balls, Titleist golf clubs, Titleist golf gear and FootJoy golf wear. The company operates in the United States, EMEA, Japan, Korea and other countries, of which a majority of the revenue is generated from the operations in the United States.",Consumer Products and Services (B2C),Consumer Durables,Recreational Goods,"Footwear, Recreational Goods*",NYS,GOLF,1910,"1,633.72",842.35,99.87,"1,951.60",208.73,"1,693.41",Fairhaven,Massachusetts,United States
Kalyan Jewellers India,"Manufacturer and retailer of jewelry. The company's product portfolio has a broad-based appeal, comprising mostly fast-moving, non-fashion jewelry that targets India's large base of mid-market consumers.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Luxury Goods, Specialty Retail",,,1993,"1,628.63",,,,,,Thrissur,Kerala,India
New Look Retailers,Operator of fashion retail stores. The company offers men's & women's wear though an online retail channel and retail stores.,Consumer Products and Services (B2C),Retail,Specialty Retail,"Accessories, Clothing, Specialty Retail*",,,1982,"1,624.13",681.66,,,-294.11,,Dorset,England,United Kingdom
Salvatore Ferragamo (MIL: SFER),"Founded in 1927, Salvatore Ferragamo is an Italian monobrand company mainly known for its footwear and accessories. The company generates around 42% of revenue in the footwear category, 37% in leather goods, 7% in apparel, 7% in accessories, and 6% in fragrances. It is present globally with a network of 402 directly operated stores and 281 shops in shops. It was one of the pioneers in establishing a presence in Asia, where it generates 37% of sales, and other emerging markets (6% of sales in Central and South America). Ferragamo generates 25% of revenue in Europe, 24% in the U.S., and 8% in Japan. We estimate that Salvatore Ferragamo commands around 4%-5% market share in a EUR 17.6 billion luxury footwear industry.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Clothing, Footwear",MIL,SFER,1927,"1,618.43","1,036.89",119.45,"3,961.12",267.09,"3,559.33",Florence,,Italy
Gansu Gangtai Holding Group Company (SHG: 600687),"Gansu Gangtai Holding (Group) Co Ltd is a China-based company engaged in the provision of gold, gold artwork, and gold jewelry. It is also engaged in the provision of collections of precious metals and diamond products, and entertainment production and marketing business. The company mainly conducts its businesses in domestic markets.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Coal Mining, Iron and Steel Mining",SHG,600687,1989,"1,606.75",184.13,37.33,"1,369.90",105.95,"1,104.29",Shanghai,Shanghai,China
FF Group (ATH: FFGRP),"Folli Follie Commercial Manufacturing And Technical SA, formerly Folli Follie has three main operating segments. The Jewelry, Watches, and Accessories segment, which constitutes most of the company's sales, manufactures and distributes jewelry, watches, and accessories such as bags, belts, sunglasses, and small leather goods under the Folli Follie brand name. The Department stores segment operates Attica department stores and Factory Outlet discount stores in Greece. The Retail/wholesale segment wholesales and retails branded clothing, footwear, and other items. Most of the company's sales come from Asia, with the remainder primarily coming from Greece and other parts of Europe.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Clothing, Footwear, Luxury Goods, Other Apparel",ATH,FFGRP,1982,"1,600.61",714.74,239.10,"1,394.62",329.61,,Athens,,Greece
L.L. Bean,"Owner and operator of a retail company based in Freeport, Maine. The company offers a variety of products including travel shoes, apparel, outdoor gears, trekking bags and related accessories for hiking, trekking and adventurous tours, enabling customers to choose from a wide range of durable, long-lasting clothing and travel accessories.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Footwear, Internet Retail",,,1912,"1,600.00",,,,,,Freeport,Maine,United States
Li Ning (HKG: 02331),"Li Ning Co Ltd designs, manufactures, and markets athletic footwear and apparel through a network of 6809 stores (with over 75% of stores located in second- and third-tier cities) in China. Besides its reputable sportswear brand Li Ning, the company's brand portfolio also includes Z-Do, AIGLE, Double Happiness, Lotto and Kason. Most of its sales are generated from mainland China, and its core brand Li Ning represented about 92% of sales in 2008.",Consumer Products and Services (B2C),Retail,Distributors/Wholesale (B2C),"Accessories, Clothing, Distributors/Wholesale (B2C)*, Footwear",HKG,02331,1990,"1,588.88",763.80,108.12,"1,890.00",126.93,"3,547.37",Beijing,,China
Ansell (ASX: ANN),"Ansell is a global provider of health and safety protection solutions, employing more than 10,000 staff in the Americas, Europe, and Asia. The firm designs, develops, manufactures, and markets a range of surgical, medical examination, industrial, and household gloves, along with protective clothing and condoms. Ansell is a global leader in several product categories. In 2002, having progressively divested its nonglove businesses, the listed Pacific Dunlop changed its name to Ansell Limited.",Consumer Products and Services (B2C),Apparel and Accessories,Other Apparel,Other Apparel*,ASX,ANN,1899,"1,580.60",618.80,121.11,"2,199.78",202.81,"2,363.49",Richmond,Victoria,Australia
Belluna Company (TKS: 9997),"Belluna Co Ltd is primarily a mail-order retailer that sells a wide range of products, including apparel, home furnishings, food, wine, cosmetics, health food, and nursing supplies through catalogs and e-commerce sites. More than 80% of the company's sales come from its mail-order business. Remaining revenue comes from its apparel retail stores; its solution business, which offers outsourced services for Belluna's corporate clients; its finance business, which offers financing services that target mail-order customers; and its property business, which leases office and commercial space and engages in property development. Nearly all the company's sales are in Japan.",Business Products and Services (B2B),Commercial Services,Other Commercial Services,"Clothing, Other Commercial Services*",TKS,9997,,"1,568.46",880.17,77.18,"1,341.36",118.12,809.36,Saitama,,Japan
VANCL,"Provider of an online retail platform designed to sell low price, modern style clothing in China. The company's platform offers men's shirts, women's and children's clothing, shoes and other modern accessories.",Consumer Products and Services (B2C),Apparel and Accessories,Accessories,"Accessories*, Clothing, Internet Retail",,,2007,"1,546.11",,,,,,Beijing,,China
LF (Korea) (KRX: 093050),"LF Corp is engaged in the apparel manufacturing industry in Korea. Its business involves the manufacture and marketing of all types of apparel under brand names such as Lafuma, Daks, Hazzy's, Joseph, Vince, Allegri, TNGT, Jillstuart and MOGG. Its suite of products includes women's wear, sportswear and outdoors, accessories and lifestyle items.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Clothing*, Luxury Goods",KRX,093050,1954,"1,552.78",857.81,75.71,486.63,146.24,627.46,Seoul,,South Korea
National Vision (NAS: EYE),"National Vision Holdings Inc is an optical retailer in the U.S. Its product portfolio includes eyeglasses and sunglasses, contact lenses, accessories and other products. The operating segments of the company are Owned and Host segment, and Legacy segment. It derives a majority of the revenue from the Owned and Host segment which includes its two owned brands, America's Best and Eyeglass World, and its Vista Optical locations in Fred Meyer stores. In Owned and Host segment, the company also offers low-cost vision care products and services to American military service members by operating Vista Optical locations on military bases across the country. The Legacy segment of the entity consists of the strategic relationship with Walmart to operate Vision Centers in select Walmart stores.",Consumer Products and Services (B2C),Retail,Specialty Retail,"Accessories, Specialty Retail*, Therapeutic Devices",NAS,EYE,1990,"1,536.85",823.28,23.65,"2,699.63",116.49,"2,273.52",Duluth,Georgia,United States
Moncler (MIL: MONC),"Moncler is an Italian luxury outerwear brand founded in 1952. It is one of the leading players in luxury outerwear (EUR 12 billion market) with over 40% share in luxury down jackets (EUR 2 billion market). Moncler is globally present, with 14% of revenue generated in Italy, 29% in EMEA excluding Italy, 17% in the Americas, and 40% in Asia. Most of the company's sales are direct-to-consumer, with over 70% generated through the own retail channel (200 stores globally) and the remainder through over 1,500 wholesale doors. Around 80% of revenue is generated in the core outerwear segment, with the remainder in the accessory, knitwear, and footwear categories. We estimate Moncler to command around 8% of the luxury outerwear market globally, with higher market shares in Asia and lower in the U.S.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*, Internet Retail",MIL,MONC,1952,"1,526.25","1,173.73",321.42,"11,037.35",489.86,"10,116.27",Milan,,Italy
Benetton Group,"Supplier of clothing, sporting goods, and accessories for men, women, and children. The company sells casual wear under the United Colors of Benetton and Sisley brands, and sportswear and equipment under the Killer Loop and Playlife brands.",Consumer Products and Services (B2C),Apparel and Accessories,Clothing,"Accessories, Clothing*",,,1965,"1,515.42",,,,,,Treviso,,Italy
Timberland,"Designer and marketer of footwear and accessories. The company designs and markets a branded line of boots and shoes, as well as apparel and accessories. It provides products for women, men and children.",Consumer Products and Services (B2C),Apparel and Accessories,Footwear,"Accessories, Clothing, Footwear*",,,1918,"1,512.62",722.16,92.19,"1,990.72",160.42,,Stratham,New Hampshire,United States
Bradlees,"Operator of a department stores chain. The company is engaged in the operations of departmental and retail store chain in the United States of America and sells fashion apparel, home furnishings, seasonal products and other such products.",Consumer Products and Services (B2C),Apparel and Accessories,Other Apparel,"Department Stores, Home Furnishings, Other Apparel*",,,1958,"1,497.01",460.49,-19.43,280.24,,,Braintree,Massachusetts,United States
PC Jeweller (NSE: PCJEWELLER),"PC Jeweller Ltd manufactures gold jewelry, diamond-studded jewelry, and silver items. The company manufactures its items in India and generates most of its revenue from its dozens of retail showrooms across India and its online store. Gold jewelry accounts for approximately 80% of PC Jeweller's total revenue and is the only type of jewelry that the company exports. Roughly 30% of the company's revenue comes from export sales. PC Jeweller owns the PCJ, Flexia and Azva jewelry brands and its items' price points target consumers that span from the lower middle class to the ultra rich.",Consumer Products and Services (B2C),Apparel and Accessories,Luxury Goods,"Luxury Goods*, Specialty Retail",NSE,PCJEWELLER,2005,"1,490.89",207.55,83.08,"2,035.56",149.53,461.45,New Delhi,Delhi,India
